column_name,data_type,is_nullable
ticker,STRING,NO
cik,INT64,NO
company_name,STRING,YES
fiscal_year,INT64,NO
fiscal_period,STRING,NO
period_end_date,DATE,NO
period_type,STRING,YES
gross_margin,FLOAT64,YES
operating_margin,FLOAT64,YES
net_margin,FLOAT64,YES
roe,FLOAT64,YES
roa,FLOAT64,YES
roic,FLOAT64,YES
current_ratio,FLOAT64,YES
quick_ratio,FLOAT64,YES
cash_ratio,FLOAT64,YES
working_capital,FLOAT64,YES
debt_to_equity,FLOAT64,YES
debt_to_assets,FLOAT64,YES
equity_ratio,FLOAT64,YES
interest_coverage,FLOAT64,YES
asset_turnover,FLOAT64,YES
inventory_turnover,FLOAT64,YES
receivables_turnover,FLOAT64,YES
days_sales_outstanding,FLOAT64,YES
fcf_margin,FLOAT64,YES
operating_cf_ratio,FLOAT64,YES
cash_flow_to_debt,FLOAT64,YES
capex_to_revenue,FLOAT64,YES
price_to_earnings,FLOAT64,YES
price_to_book,FLOAT64,YES
price_to_sales,FLOAT64,YES
peg_ratio,FLOAT64,YES
revenue_growth_yoy,FLOAT64,YES
net_income_growth_yoy,FLOAT64,YES
eps_growth_yoy,FLOAT64,YES
fcf_growth_yoy,FLOAT64,YES
data_quality_score,FLOAT64,YES
last_updated,TIMESTAMP,YES
