column_name,data_type,is_nullable
ticker,STRING,NO
cik,INT64,NO
company_name,STRING,YES
fiscal_year,INT64,NO
fiscal_period,STRING,NO
period_end_date,DATE,NO
fiscal_year_end,STRING,YES
is_calculated,BOOL,YES
period_type,STRING,YES
form_type,STRING,YES
filing_date,DATE,YES
revenues,FLOAT64,YES
cost_of_revenue,FLOAT64,YES
gross_profit,FLOAT64,YES
operating_expenses,FLOAT64,YES
research_development,FLOAT64,YES
selling_general_admin,FLOAT64,YES
operating_income,FLOAT64,YES
interest_expense,FLOAT64,YES
interest_income,FLOAT64,YES
other_income_expense,FLOAT64,YES
income_before_tax,FLOAT64,YES
income_tax_expense,FLOAT64,YES
net_income,FLOAT64,YES
eps_basic,FLOAT64,YES
eps_diluted,FLOAT64,YES
shares_outstanding_basic,FLOAT64,YES
shares_outstanding_diluted,FLOAT64,YES
assets,FLOAT64,YES
current_assets,FLOAT64,YES
cash_and_equivalents,FLOAT64,YES
short_term_investments,FLOAT64,YES
accounts_receivable,FLOAT64,YES
inventory,FLOAT64,YES
noncurrent_assets,FLOAT64,YES
ppe_net,FLOAT64,YES
liabilities,FLOAT64,YES
current_liabilities,FLOAT64,YES
accounts_payable,FLOAT64,YES
short_term_debt,FLOAT64,YES
long_term_debt,FLOAT64,YES
noncurrent_liabilities,FLOAT64,YES
stockholders_equity,FLOAT64,YES
retained_earnings,FLOAT64,YES
operating_cash_flow,FLOAT64,YES
investing_cash_flow,FLOAT64,YES
financing_cash_flow,FLOAT64,YES
capex,FLOAT64,YES
free_cash_flow,FLOAT64,YES
dividends_paid,FLOAT64,YES
data_quality_score,FLOAT64,YES
last_updated,TIMESTAMP,YES
shares_outstanding_consolidated,INT64,YES
shares_source,STRING,YES
