ticker,error
GOOGL,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/GOOGL?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
GOOG,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/GOOG?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
BRK.B,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/BRK.B?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
TSLA,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/TSLA?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
TSM,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/TSM?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
V,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/V?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
WMT,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/WMT?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
JPM,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/JPM?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
MA,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/MA?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
LLY,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/LLY?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
